group,esu,year,count,etrend,trigger,Ave4yr,Ave10yr,logbplus1,geomean10,geomean5,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2000,1897,1733,3897,1497,1216,7.5486,1138,1208,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2001,4649,1890,6650,2302,1521,8.4446,1267,1854,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2002,2787,2062,4789,2713,1652,7.9331,1350,2119,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2003,3075,2249,5078,3102,1871,8.0314,1530,2582,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2004,3413,2453,5417,3481,2119,8.1356,1741,3036,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2005,2037,2676,4042,2828,2250,7.6197,1929,3080,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2006,1599,2919,3605,2531,2355,7.3778,2148,2488,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2007,2485,3184,4492,2384,2460,7.8184,2270,2431,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2008,3652,3473,5660,2443,2711,8.2033,2549,2516,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2009,5518,3788,7527,3314,3111,8.6160,2900,2770,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2010,6634,4132,8644,4572,3585,8.8001,3287,3508,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2011,5501,4507,5501,5326,3670,8.6129,3343,4491,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2012,6385,4916,6385,6010,4030,8.7619,3631,5424,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2013,3704,5363,,5556,4093,8.2174,3700,5440,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2014,5880,5849,,5368,4340,8.6795,3907,5509,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2015,4422,6381,,5098,4578,8.3946,4221,5080,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),2016,1971,6960,,3994,4615,7.5868,4311,4137,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1980,96,,,,,4.5747,,,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1981,218,,,,,5.3891,,,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1982,211,,,,,5.3566,,,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1983,216,,,185,,5.3799,,,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1984,105,,,188,,4.6634,,159,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1985,35,,,142,,3.5835,,130,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1986,20,,,94,,3.0445,,80,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1987,29,,,47,,3.4012,,54,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1988,23,,,27,,3.1781,,35,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1989,4,,,19,96,1.6094,53,18,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1990,1,2,,14,86,0.6931,34,9,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1991,9,2,,9,65,2.3026,25,8,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1992,2,3,,4,44,1.0986,15,4,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1993,17,4,,7,25,2.8904,12,4,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1994,3,5,,8,14,1.3863,8,4,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1995,5,7,,7,11,1.7918,7,5,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1996,3,9,,7,10,1.3863,6,4,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1997,17,12,,7,8,2.8904,5,7,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1998,3,16,,7,6,1.3863,4,5,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",1999,18,21,,10,8,2.9444,5,7,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2000,337,27,,94,41,5.8230,9,16,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2001,45,36,,101,45,3.8286,11,27,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2002,73,47,,118,52,4.3041,15,36,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2003,26,62,,120,53,3.2958,16,55,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2004,113,82,,64,64,4.7362,23,80,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2005,19,108,,58,65,2.9957,26,45,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2006,16,143,,44,67,2.8332,31,37,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2007,55,188,,51,71,4.0254,35,35,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2008,907,247,,249,161,6.8112,62,70,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2009,1406,326,,596,300,7.2492,96,116,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2010,2406,429,,1194,507,7.7861,117,306,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2011,1502,565,,1555,652,7.3152,167,760,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2012,446,744,,1440,690,6.1026,200,1155,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2013,757,980,,1278,763,6.6307,280,1114,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2014,2786,1291,,1373,1030,7.9327,385,1277,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2015,440,1700,,1107,1072,6.0890,528,909,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2016,816,2239,,1200,1152,6.7056,782,805,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2017,228,2949,,1068,1169,5.4337,902,704,
SR Sockeye,"Salmon, sockeye (Snake River ESU)",2018,213,3883,,424,1100,5.3660,780,546,
